Sheep,Image,Lacunarity,Entropy,FociCount,Directionality,TissueToSinusoid
1,35,,0.553236739,2,0.144159276,0.282596588
1,10,0.171566953,0.532842065,1,0.186410251,0.268191692
1,22,0.144946579,0.533840804,2,0.062782942,
1,38,0.086988735,0.54753873,1,0.230397291,0.266360905
1,37,0.118693818,0.556386992,1,0.227331372,0.286776073
1,21,0.195544012,0.566461291,5,0.076361812,0.335802903
1,2,0.116570203,0.562076054,4,0.201428133,0.29104621
1,24,0.148821586,0.533233069,6,0.125132021,0.268047574
1,39,0.130045127,0.539169186,0,0.235980818,0.269942573
1,40,0.104464978,0.561939006,1,0.22758107,0.286651395
1,53,0.13580657,,1,0.142794839,0.246938116
1,64,0.129245213,0.54638958,2,0.208176304,0.27766875
2,1,0.11789213,0.525406863,11,0.332436793,0.251933171
2,3,0.095183281,0.55353617,11,0.293270768,0.27804459
3,150,0.186129826,0.531761218,12,0.170297283,0.298866904
3,81,0.095403473,0.58402363,6,0.219765489,0.311226832
3,4,0.14104184,0.56744266,5,0.26603486,0.305885679
3,36,0.145922155,0.524298364,6,,0.258054888
3,63,0.117611459,0.561470254,8,0.279866476,0.288893712
3,64,0.153585982,0.536048924,7,0.212753478,0.271118528
3,82,0.121333863,0.584079682,10,0.255956378,0.316240685
3,102,0.134145623,0.572777534,6,0.233710509,0.317269674
3,118,0.10253179,0.581686593,6,0.179004212,0.312931005
3,129,0.131796011,0.542509376,11,0.247272845,0.266447314
3,151,0.161208449,0.515364849,9,0.207155404,0.260973439
3,18,0.11413857,0.542718314,9,0.25118799,0.273405985
3,116,0.163758899,0.53460584,12,0.167245546,0.276518117
3,141,0.135989207,0.557580735,4,0.088946101,0.302304855
3,79,0.107262077,0.541192088,10,0.232800073,0.266059676
3,2,0.143295328,0.559223334,8,0.201765941,0.294783979
3,65,0.155323943,0.570417676,10,0.220256033,0.312966444
3,34,0.152686968,0.569421503,7,0.192256392,0.316399447
3,101,0.104342407,0.557789942,12,0.294088755,0.282073031
3,35,0.107039886,0.569788316,8,0.204227313,0.295301131
3,80,0.117713429,0.530852729,3,0.272067024,0.25789892
3,51,0.14977883,0.553467477,9,0.196766008,0.288599555
3,52,0.12071411,0.60247848,14,0.174325106,0.35790388
3,117,0.124040334,0.567374765,8,0.136200891,0.295858824
3,3,0.133423101,0.548385335,14,0.245520731,0.285955632
3,19,0.138038539,0.569349962,9,0.207528304,0.303718127
3,50,0.119452224,0.581254193,10,0.209364387,0.325573582
3,78,0.094511595,0.602963028,10,0.211968194,0.340460745
3,77,0.106665351,0.57762353,9,0.25841132,0.30122664
3,100,0.124933285,0.586316708,8,0.2640549,0.331584241
3,1,0.126913844,0.570374155,4,0.182045352,0.309416841
3,115,0.110113252,0.552061225,10,0.197367898,0.273028551
3,130,0.120665867,0.547548623,7,0.138553114,0.276354139
3,53,0.144138635,0.571450457,7,0.186551566,0.31315356
3,98,0.137811381,0.553569418,13,0.227653656,0.288365201
3,142,0.165155841,0.550989775,10,0.124202878,0.303178206
3,33,0.114892579,0.580785279,8,0.305350893,0.31504588
3,99,0.102226661,0.581774159,7,0.24524617,0.31062887
3,20,0.143167558,0.538948128,9,0.23141963,0.268409414
3,140,0.128740567,0.544505023,7,0.132448635,0.27573585
3,131,0.101113924,0.578280816,11,0.128427816,0.305817119
4,112,0.139416942,0.573469541,10,0.14892696,0.337332064
4,34,0.151893388,0.603841786,13,0.178762757,0.414250207
4,45,0.094634249,0.572703977,12,0.269238134,0.29939054
4,2,0.172916931,0.540539116,10,0.281593413,0.295865137
4,87,0.114840592,0.59259577,20,0.162711654,0.358669643
4,13,0.123870154,0.579504671,18,0.130716106,0.343738147
4,86,0.107551021,0.603734683,12,0.235427248,0.36659496
4,85,0.112473857,0.573843544,9,0.271750077,0.315535012
4,73,0.08724817,0.60128919,13,0.26465711,0.350718689
4,47,0.163377628,0.532813701,11,0.165725006,0.291543118
4,113,0.096142287,0.589105041,17,0.082152388,0.332695045
4,60,0.120772584,0.590711491,14,0.201884868,0.364033052
4,72,0.107677537,0.536641052,15,0.37747467,0.266230699
4,1,0.089256099,0.580125696,19,0.299384484,0.322099524
4,125,0.109799977,0.581083295,12,0.232354421,0.319875805
4,12,0.125940226,0.585430183,12,0.130712349,0.350692982
4,46,0.106005897,0.596600048,15,0.108944124,0.356170459
4,128,0.121279715,0.547513939,10,0.262186198,0.290002742
4,126,0.104027503,0.552871008,15,0.201859559,0.278302627
4,99,0.098563457,0.584433749,12,0.25663627,0.32500843
4,111,0.104104694,0.587933725,12,0.216289725,0.331057666
4,71,0.100784146,0.590226152,18,0.240964136,0.339564374
4,127,0.078939482,0.585454719,14,0.181911577,0.316546586
4,88,0.100997384,0.577320208,14,0.216504886,0.318042336
4,74,0.100145442,0.562613544,14,0.374223757,0.293277656
4,59,0.132052238,0.580740157,13,0.246395935,0.348354228
6,32,0.101663586,0.603473782,10,0.151100345,0.34911397
6,145,0.102068303,0.623578513,15,0.183866014,0.392110653
6,46,0.08355237,0.609444907,4,0.123277815,0.354155083
6,102,0.081867811,0.619697608,10,0.191554741,0.368830324
6,91,0.14257255,0.593646732,10,0.135058276,0.353366319
6,57,0.09186669,0.614535276,10,0.24917918,0.363591365
6,1,0.093620974,0.597374656,7,0.186214171,0.338252138
6,58,0.093226515,0.59976885,13,0.166339284,0.338151396
6,143,0.136784861,0.573083468,5,0.169978586,0.324776766
6,59,0.106113712,0.591072404,10,0.106389596,0.331004454
6,19,0.096679461,0.616158586,12,0.171302329,0.370200764
6,72,0.091538144,0.609857715,9,0.136484069,0.353809788
6,74,0.10447026,0.617396346,8,0.124992253,0.372647445
6,104,0.097028997,0.61214551,12,0.106224487,0.357000246
6,61,0.140225339,0.572408956,9,0.113960865,0.318387718
6,117,0.128766493,0.603459987,9,0.18745953,0.364286124
6,157,0.167464456,0.56336527,12,0.097626982,0.329271375
6,130,0.115845972,0.570521054,10,0.225508228,0.30421574
6,156,0.146328669,0.591458975,17,0.140549267,0.374087245
6,90,0.094057545,0.627443063,14,0.140534786,0.390674073
6,116,0.101119054,0.606200017,16,0.242741023,0.356447679
6,35,0.101994235,0.604889653,15,0.14087134,0.353102742
6,88,0.094542769,0.611037245,9,0.132300059,0.361881219
6,20,0.095966188,0.604485512,6,0.069348362,0.355139979
6,48,0.097127919,0.6119891,9,0.184501021,0.361845391
6,6,0.110926567,0.6027662,12,0.249818888,0.340228389
6,2,0.104167307,0.604461964,11,0.135703056,0.347365639
6,132,0.128780019,0.58245402,11,0.202702851,0.331543405
6,3,0.108748211,0.585395936,9,0.13456485,0.324853485
6,60,0.100717231,0.602492001,9,0.185126039,0.343439399
6,4,0.11528731,0.589187765,8,0.074352245,0.33659174
6,18,0.098729245,0.619773371,7,0.14844149,0.375240646
6,77,0.132021591,0.593430479,11,0.029287541,0.347717241
