Timestamp,Coffees,Name,Time,Hour
03/10/2011 08:22,397,Q,1317644520,8
04/10/2011 11:48,410,Q,1317743280,11
05/10/2011 07:02,439,Ant,1317812520,7
05/10/2011 08:25,444,Q,1317817500,8
05/10/2011 10:47,464,Q,1317826020,10
05/10/2011 13:15,481,Q,1317834900,13
06/10/2011 07:21,503,Ant,1317900060,7
06/10/2011 10:04,513,Q,1317909840,10
06/10/2011 12:14,539,Mike,1317917640,12
06/10/2011 12:49,540,Q,1317919740,12
06/10/2011 14:52,563,Ben,1317927120,14
07/10/2011 07:34,581,Ant,1317987240,7
07/10/2011 08:37,587,Q,1317991020,8
07/10/2011 11:09,605,Q,1318000140,11
07/10/2011 13:14,616,Mike,1318007640,13
07/10/2011 14:10,620,Ben,1318011000,14
07/10/2011 15:20,626,Mike M,1318015200,15
07/10/2011 16:50,635,Mike M,1318020600,16
09/10/2011 16:53,650,Colm,1318193580,16
10/10/2011 07:29,656,Ant,1318246140,7
10/10/2011 10:13,673,Q,1318255980,10
10/10/2011 13:41,694,Mike M,1318268460,13
10/10/2011 14:02,699,Q,1318269720,14
10/10/2011 15:23,713,Q,1318274580,15
11/10/2011 14:09,770,Mike M,1318356540,14
12/10/2011 08:11,790,Q,1318421460,8
12/10/2011 09:57,799,Mike M,1318427820,9
12/10/2011 10:06,805,Sergio,1318428360,10
12/10/2011 12:01,818,Mike M,1318435260,12
12/10/2011 12:30,819,Q,1318437000,12
12/10/2011 13:56,837,Q,1318442160,13
13/10/2011 09:10,866,Q,1318511400,9
13/10/2011 10:52,880,Q,1318517520,10
13/10/2011 11:04,889,Mike M,1318518240,11
13/10/2011 14:41,916,Q,1318531260,14
13/10/2011 15:06,920,Mike M,1318532760,15
13/10/2011 15:45,923,Ben,1318535100,15
13/10/2011 15:58,924,Q,1318535880,15
14/10/2011 09:02,933,Q,1318597320,9
14/10/2011 10:02,939,Mike M,1318600920,10
14/10/2011 14:07,974,Ben,1318615620,14
17/10/2011 09:24,1011,Mike,1318857840,9
17/10/2011 11:19,1036,Mike M,1318864740,11
17/10/2011 14:05,1050,Colm,1318874700,14
18/10/2011 09:20,1065,Q,1318944000,9
18/10/2011 09:39,1070,Mike M,1318945140,9
18/10/2011 11:32,1091,Q,1318951920,11
18/10/2011 12:54,1095,Mike M,1318956840,12
19/10/2011 09:15,1133,Q,1319030100,9
19/10/2011 09:31,1136,Mike M,1319031060,9
19/10/2011 14:08,1179,Q,1319047680,14
19/10/2011 15:11,1193,Mike M,1319051460,15
20/10/2011 13:01,1247,Mike M,1319130060,13
20/10/2011 15:59,1267,Mike M,1319140740,15
21/10/2011 10:39,1286,Mike M,1319207940,10
21/10/2011 13:15,1297,Q,1319217300,13
21/10/2011 15:09,1310,Q,1319224140,15
24/10/2011 09:51,1346,Q,1319464260,9
24/10/2011 10:15,1350,Q,1319465700,10
24/10/2011 10:21,1352,Mike M,1319466060,10
24/10/2011 14:32,1389,Mike M,1319481120,14
25/10/2011 07:54,1409,Colm,1319543640,7
25/10/2011 09:37,1413,Mike M,1319549820,9
25/10/2011 14:30,1457,Mike M,1319567400,14
25/10/2011 17:52,1473,Sergio,1319579520,17
26/10/2011 09:15,1477,Q,1319634900,9
26/10/2011 09:42,1481,Mike M,1319636520,9
26/10/2011 11:59,1510,Q,1319644740,11
26/10/2011 13:38,1529,Mike M,1319650680,13
27/10/2011 08:03,1551,Ant,1319716980,8
27/10/2011 11:14,1569,Mike M,1319728440,11
27/10/2011 13:51,1582,Mike M,1319737860,13
28/10/2011 10:53,1621,Mike M,1319813580,10
28/10/2011 13:33,1640,Q,1319823180,13
31/10/2011 10:58,1706,Mike M,1320073080,10
31/10/2011 11:00,1707,Q,1320073200,11
31/10/2011 13:58,1726,Q,1320083880,13
31/10/2011 14:35,1735,Mike M,1320086100,14
01/11/2011 08:21,1749,Colm,1320150060,8
01/11/2011 09:33,1756,Mike M,1320154380,9
01/11/2011 10:13,1763,Q,1320156780,10
